"SSID","BSSID","COMPANY","RSSI","FREQUENCY","WIDTH","CAPABILITIES"
"","1a:05:88:5f:83:8d","","-58","2432","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:23:81:84","","-59","5200","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:81:9e","","-61","2452","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:81:c6","","-63","2472","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"2S6F-MUMBAI","78:dd:d9:8c:74:e6","Shiyuan","-64","5200","40MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS]"
"","1a:05:88:23:83:cc","","-70","5180","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:23:7c:9c","","-77","5260","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","1a:05:88:23:7c:9c","","-78","5260","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:85:ef","","-78","2452","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:84:dd","","-83","5200","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
"","0a:05:88:5f:80:f5","","-90","5320","20MHZ","[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS]"
